[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S6_select_schedulingTypeSelect_index_1,S13_submit_submitButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,IMMEDIATELY,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,IMMEDIATELY,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,IMMEDIATELY,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,IMMEDIATELY,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,IMMEDIATELY,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,IMMEDIATELY,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,IMMEDIATELY,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,IMMEDIATELY,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,IMMEDIATELY,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,IMMEDIATELY,action
