[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S13_submit_submitButton,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,WEEKS,invalidAmountRight,02/02/2012,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,MONTHS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,DAYS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,MONTHS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,DAYS,invalidAmountRight,02/02/2012,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,WEEKS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,DAYS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,MONTHS,invalidAmountRight,02/02/2012,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,DAYS,invalidAmountLeft,02/02/2012,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,MONTHS,invalidAmountLeft,02/02/2012,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,DAYS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,DAYS,validAcceptableAmount,02/02/2012,action,action,test1
