[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S8c3_submit_submitButton,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description,S13_click_calculatePaymentsButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,02/02/2012,action,action,test1,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,02/02/2012,action,action,test1,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,02/02/2012,action,action,test1,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,02/02/2012,action,action,test1,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,02/02/2012,action,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,02/02/2012,action,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,02/02/2012,action,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,anyString,action
