[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S14_submit_submitButton,S18_click_cssInputButton,S0_type_memberUserName,S12_click_calculatePaymentsButton,S7_select_schedulingTypeSelect_index_2
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action,SINGLE_FUTURE
