[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S18_click_cssInputButton,S0_type_memberUserName,S7_select_schedulingTypeSelect_index_2,S10_submit_submitButton,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,invalidAmountRight,action,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,action,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,action,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,action,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,action,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,action,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,action,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,action,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,action,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,action,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,action,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,action,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE
