[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S7_select_schedulingTypeSelect_index_1,S14_submit_submitButton,S12_click_calculatePaymentsButton,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,IMMEDIATELY,action,action,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,IMMEDIATELY,action,action,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,IMMEDIATELY,action,action,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,IMMEDIATELY,action,action,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,IMMEDIATELY,action,action,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,IMMEDIATELY,action,action,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,IMMEDIATELY,action,action,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,IMMEDIATELY,action,action,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,IMMEDIATELY,action,action,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,IMMEDIATELY,action,action,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,IMMEDIATELY,action,action,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,IMMEDIATELY,action,action,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,IMMEDIATELY,action,action,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,IMMEDIATELY,action,action,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,IMMEDIATELY,action,action,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
