[coverage strength]
4
""
S7_type_paymentCount,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S13_submit_submitButton,S11_type_recurrenceNumberText,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,MONTHS,invalidAmountRight,02/02/2012,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,DAYS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,WEEKS,invalidAmountRight,02/02/2012,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,WEEKS,validAcceptableAmount,02/02/2012,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,DAYS,invalidAmountRight,02/02/2012,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,DAYS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,WEEKS,validAcceptableAmount,02/02/2012,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,MONTHS,invalidAmountLeft,02/02/2012,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,DAYS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,WEEKS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,DAYS,invalidAmountLeft,02/02/2012,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,DAYS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,DAYS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,MONTHS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,DAYS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,MONTHS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,MONTHS,invalidAmountRight,02/02/2012,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,DAYS,validAcceptableAmount,02/02/2012,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,WEEKS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,WEEKS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,MONTHS,invalidAmountLeft,02/02/2012,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,WEEKS,invalidAmountRight,02/02/2012,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,DAYS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,WEEKS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,MONTHS,invalidAmountRight,02/02/2012,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,MONTHS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,DAYS,validAcceptableAmount,02/02/2012,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,MONTHS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,MONTHS,invalidAmountRight,02/02/2012,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,MONTHS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,DAYS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,DAYS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,DAYS,validAcceptableAmount,02/02/2012,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,DAYS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,DAYS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,WEEKS,invalidAmountRight,02/02/2012,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
