[coverage strength]
5
""
S7_type_paymentCount,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S14_submit_submitButton,S12_click_calculatePaymentsButton,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberLef,validAcceptableAmount,02/02/2012,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween7and30,invalidAmountRight,02/02/2012,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween1and7,validAcceptableAmount,02/02/2012,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,02/02/2012,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberLef,invalidAmountLeft,02/02/2012,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
