[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S3_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_2,S10_submit_submitButton,S0_type_memberUserName,S6_select_schedulingTypeSelect_index_3,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
