[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S7_select_schedulingTypeSelect_index_1,S3_select_schedulingTypeSelect_index_1,S8c3_submit_submitButton,S0_type_memberUserName,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S10_click_calculatePaymentsButton,S14_type_description
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,action,anyString
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,action,anyString
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,action,anyString
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,action,anyString
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,action,anyString
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,action,anyString
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,action,anyString
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,action,anyString
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,action,anyString
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,action,anyString
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,action,anyString
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,action,anyString
