[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S13_click_calculatePaymentsButton,S12_select_recurrenceFieldSelect,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S14_submit_submitButton,S18_click_cssInputButton,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
