[coverage strength]
4
""
S7_type_paymentCount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_2,S8c3_submit_submitButton,S2_type_amount,S6_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S1_wait_input,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S14_type_description,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,anyString,test1
validPaymentCountBetween17and36,02/02/2012,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,anyString,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,anyString,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,anyString,test1
validPaymentCountBetween1and6,02/02/2012,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,anyString,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,anyString,test1
invalidPaymentCountLef,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,anyString,test1
invalidPaymentCountLef,02/02/2012,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,anyString,test1
invalidPaymentCountLef,invalidPaymentPastDate,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,anyString,test1
invalidPaymentCountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,anyString,test1
invalidPaymentCountRight,02/02/2012,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,anyString,test1
invalidPaymentCountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,anyString,test1
