[coverage strength]
4
""
S7_type_paymentCount,S12_select_recurrenceFieldSelect,S8c3_submit_submitButton,S6_select_schedulingTypeSelect_index_1,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description,S13_click_calculatePaymentsButton
validPaymentCountBetween17and36,DAYS,action,IMMEDIATELY,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
validPaymentCountBetween17and36,WEEKS,action,IMMEDIATELY,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
validPaymentCountBetween17and36,MONTHS,action,IMMEDIATELY,invalidRecurrenceNumberLef,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
validPaymentCountBetween1and6,DAYS,action,IMMEDIATELY,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
validPaymentCountBetween1and6,WEEKS,action,IMMEDIATELY,validRecurrenceNumberBetween7and30,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
validPaymentCountBetween1and6,MONTHS,action,IMMEDIATELY,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountLef,DAYS,action,IMMEDIATELY,invalidRecurrenceNumberLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountLef,WEEKS,action,IMMEDIATELY,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountLef,MONTHS,action,IMMEDIATELY,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountRight,DAYS,action,IMMEDIATELY,validRecurrenceNumberBetween1and7,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountRight,WEEKS,action,IMMEDIATELY,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountRight,MONTHS,action,IMMEDIATELY,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountLef,WEEKS,action,IMMEDIATELY,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
