[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_2,S13_submit_submitButton,S12_select_recurrenceFieldSelect,S2_type_amount,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentFutureDate,SINGLE_FUTURE,action,DAYS,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,02/02/2012,SINGLE_FUTURE,action,WEEKS,validAcceptableAmount,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentPastDate,SINGLE_FUTURE,action,MONTHS,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,action,WEEKS,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,02/02/2012,SINGLE_FUTURE,action,MONTHS,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentPastDate,SINGLE_FUTURE,action,DAYS,validAcceptableAmount,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentFutureDate,SINGLE_FUTURE,action,MONTHS,validAcceptableAmount,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,02/02/2012,SINGLE_FUTURE,action,DAYS,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentPastDate,SINGLE_FUTURE,action,WEEKS,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,MONTHS,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,02/02/2012,SINGLE_FUTURE,action,DAYS,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,WEEKS,validAcceptableAmount,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentFutureDate,SINGLE_FUTURE,action,MONTHS,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,02/02/2012,SINGLE_FUTURE,action,DAYS,validAcceptableAmount,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentPastDate,SINGLE_FUTURE,action,WEEKS,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,action,DAYS,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
