[coverage strength]
2
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S12_click_calculatePaymentsButton,S14_type_description,S8c3_submit_submitButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountRight,02/02/2012,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,02/02/2012,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,anyString,action
