[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_2,S8c3_submit_submitButton,S11_click_calculatePaymentsButton,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountLef,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountRight,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
