[coverage strength]
4
""
S12_select_recurrenceFieldSelect,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S14_submit_submitButton,S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S13_click_calculatePaymentsButton
DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,action,action,test1,action
WEEKS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action
DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action
MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,action,action,test1,action
WEEKS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,action,action,test1,action
DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,action,action,test1,action
DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,action,action,test1,action
MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,action
MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
