[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_submit_submitButton,S7_select_schedulingTypeSelect_index_2,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,action,SINGLE_FUTURE,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,action,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,action,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,action,SINGLE_FUTURE,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,action,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,action,SINGLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,action,SINGLE_FUTURE,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,action,SINGLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,action,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,action,SINGLE_FUTURE,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,action,SINGLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,action,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,action,SINGLE_FUTURE,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,action,SINGLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,action,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,action,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,action,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,action,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,action,SINGLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
