[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S14_submit_submitButton,S18_click_cssInputButton,S0_type_memberUserName,S12_click_calculatePaymentsButton,S6_select_schedulingTypeSelect_index_1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,action,IMMEDIATELY
