[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S8c3_submit_submitButton,S7_select_schedulingTypeSelect_index_2,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description,S13_click_calculatePaymentsButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,action,SINGLE_FUTURE,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,action,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,action,SINGLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,action,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,action,SINGLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,action,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,action,SINGLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,action,SINGLE_FUTURE,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,action,SINGLE_FUTURE,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,action,SINGLE_FUTURE,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
