[coverage strength]
4
""
S7_type_paymentCount,S2_type_amount,S6_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_2,S1_wait_input,S18_click_cssInputButton,S10_submit_submitButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,test1
invalidPaymentCountLef,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,test1
invalidPaymentCountRight,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,test1
invalidPaymentCountRight,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,test1
