[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S6_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_1,S14_submit_submitButton,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S10_click_calculatePaymentsButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
