[coverage strength]
4
""
S7_type_paymentCount,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S13_submit_submitButton,S11_type_recurrenceNumberText,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween7and30,DAYS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween1and7,WEEKS,invalidAmountLeft,02/02/2012,action,action,test1
invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidRecurrenceNumberLef,MONTHS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
invalidPaymentCountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidRecurrenceNumberRight,DAYS,invalidAmountRight,02/02/2012,action,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween7and30,DAYS,invalidAmountRight,02/02/2012,action,action,test1
invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween7and30,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween7and30,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween7and30,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween7and30,MONTHS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween17and36,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween1and7,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween1and7,DAYS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween1and7,DAYS,invalidAmountRight,02/02/2012,action,action,test1
invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween1and7,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween1and7,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween1and7,MONTHS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween17and36,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidRecurrenceNumberLef,DAYS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidRecurrenceNumberLef,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidRecurrenceNumberLef,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidRecurrenceNumberLef,DAYS,validAcceptableAmount,02/02/2012,action,action,test1
invalidPaymentCountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidRecurrenceNumberLef,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidRecurrenceNumberLef,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidRecurrenceNumberRight,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidRecurrenceNumberRight,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidRecurrenceNumberRight,DAYS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidRecurrenceNumberRight,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween7and30,DAYS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
invalidPaymentCountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween7and30,DAYS,invalidAmountRight,02/02/2012,action,action,test1
invalidPaymentCountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween1and7,DAYS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidRecurrenceNumberLef,WEEKS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween7and30,DAYS,invalidAmountLeft,02/02/2012,action,action,test1
invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidRecurrenceNumberRight,WEEKS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
