[coverage strength]
3
""
S7_type_paymentCount,S2_type_amount,S18_click_cssInputButton,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S10_submit_submitButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,action,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,action,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,action,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,action,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,action,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,action,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,action,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountRight,action,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,validAcceptableAmount,action,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,action,MULTIPLE_FUTURE,action,action,test1
