[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S2_type_amount,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S3_select_schedulingTypeSelect_index_2,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
