[coverage strength]
2
""
S7_type_paymentCount,S2_type_amount,S7_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S10_click_calculatePaymentsButton,S3_select_schedulingTypeSelect_index_2,S0_type_memberUserName
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,test1
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,test1
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,test1
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,test1
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,test1
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,test1
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,test1
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,test1
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,test1
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,test1
