[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_2,S14_submit_submitButton,S2_type_amount,S3_select_schedulingTypeSelect_index_1,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S12_click_calculatePaymentsButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,02/02/2012,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,02/02/2012,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,02/02/2012,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentPastDate,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,02/02/2012,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,02/02/2012,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentPastDate,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,02/02/2012,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentFutureDate,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,02/02/2012,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,02/02/2012,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentFutureDate,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,02/02/2012,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,02/02/2012,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentPastDate,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
