[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S5_select_schedulingTypeSelect_index_3,S13_click_calculatePaymentsButton,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S1_wait_input,S18_click_cssInputButton,S14_submit_submitButton,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MULTIPLE_FUTURE,action,WEEKS,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MULTIPLE_FUTURE,action,MONTHS,validAcceptableAmount,02/02/2012,IMMEDIATELY,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MULTIPLE_FUTURE,action,DAYS,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MULTIPLE_FUTURE,action,WEEKS,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MULTIPLE_FUTURE,action,MONTHS,invalidAmountLeft,02/02/2012,IMMEDIATELY,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MULTIPLE_FUTURE,action,DAYS,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MULTIPLE_FUTURE,action,WEEKS,validAcceptableAmount,02/02/2012,IMMEDIATELY,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MULTIPLE_FUTURE,action,MONTHS,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MULTIPLE_FUTURE,action,DAYS,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MULTIPLE_FUTURE,action,WEEKS,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,MULTIPLE_FUTURE,action,MONTHS,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,MULTIPLE_FUTURE,action,DAYS,invalidAmountLeft,02/02/2012,IMMEDIATELY,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MULTIPLE_FUTURE,action,WEEKS,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MULTIPLE_FUTURE,action,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,MULTIPLE_FUTURE,action,DAYS,invalidAmountRight,02/02/2012,IMMEDIATELY,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,MULTIPLE_FUTURE,action,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,action,action,test1
