[coverage strength]
5
""
S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_2,S12_submit_submitButton,S3_select_schedulingTypeSelect_index_3,S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S0_type_memberUserName
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidRecurrenceNumberLef,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountRight,02/02/2012,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidRecurrenceNumberLef,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountRight,02/02/2012,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,action,test1
