[coverage strength]
3
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_2,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S13_submit_submitButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,validAcceptableAmount,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidAmountRight,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,validAcceptableAmount,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
