[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S7_select_schedulingTypeSelect_index_2,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S13_submit_submitButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,SINGLE_FUTURE,validAcceptableAmount,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,SINGLE_FUTURE,invalidAmountRight,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,SINGLE_FUTURE,invalidAmountLeft,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,SINGLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,SINGLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,SINGLE_FUTURE,validAcceptableAmount,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,SINGLE_FUTURE,invalidAmountRight,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,SINGLE_FUTURE,invalidAmountRight,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,SINGLE_FUTURE,invalidAmountRight,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,SINGLE_FUTURE,validAcceptableAmount,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,SINGLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,validAcceptableAmount,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,SINGLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,SINGLE_FUTURE,invalidAmountRight,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,SINGLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,SINGLE_FUTURE,invalidAmountLeft,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,SINGLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,SINGLE_FUTURE,validAcceptableAmount,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,SINGLE_FUTURE,invalidAmountLeft,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,SINGLE_FUTURE,invalidAmountLeft,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,SINGLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,SINGLE_FUTURE,invalidAmountLeft,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,SINGLE_FUTURE,invalidAmountRight,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,SINGLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
