[coverage strength]
5
""
S7_type_paymentCount,S10_type_firstPaymentDate,S7_select_schedulingTypeSelect_index_2,S7_select_schedulingTypeSelect_index_1,S11_click_calculatePaymentsButton,S2_type_amount,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
