[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S13_submit_submitButton,S12_select_recurrenceFieldSelect,S2_type_amount,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,DAYS,validAcceptableAmount,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,WEEKS,invalidAmountLeft,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MONTHS,invalidAmountRight,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,WEEKS,invalidAmountRight,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MONTHS,validAcceptableAmount,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,DAYS,invalidAmountLeft,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MONTHS,invalidAmountLeft,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,DAYS,invalidAmountRight,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,WEEKS,validAcceptableAmount,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MONTHS,invalidAmountRight,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,DAYS,validAcceptableAmount,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,WEEKS,invalidAmountLeft,action,action,test1
