[coverage strength]
6
""
S7_type_paymentCount,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_2,S12_click_calculatePaymentsButton,S3_select_schedulingTypeSelect_index_3,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S0_type_memberUserName
validPaymentCountBetween17and36,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,invalidAmountRight,02/02/2012,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentPastDate,action,test1
invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentFutureDate,action,test1
invalidPaymentCountRight,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentPastDate,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentFutureDate,action,test1
invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween1and7,invalidAmountRight,02/02/2012,action,test1
validPaymentCountBetween17and36,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentPastDate,action,test1
validPaymentCountBetween17and36,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentFutureDate,action,test1
invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentPastDate,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidRecurrenceNumberRight,invalidAmountRight,02/02/2012,action,test1
invalidPaymentCountRight,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentFutureDate,action,test1
invalidPaymentCountRight,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentFutureDate,action,test1
