[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_3,S13_click_calculatePaymentsButton,S12_select_recurrenceFieldSelect,S2_type_amount,S3_select_schedulingTypeSelect_index_2,S1_wait_input,S18_click_cssInputButton,S14_submit_submitButton,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,WEEKS,validAcceptableAmount,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,action,MONTHS,invalidAmountLeft,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,action,DAYS,invalidAmountRight,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MONTHS,invalidAmountRight,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,action,DAYS,validAcceptableAmount,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,action,WEEKS,invalidAmountLeft,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,DAYS,invalidAmountLeft,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,action,WEEKS,invalidAmountRight,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MONTHS,validAcceptableAmount,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,DAYS,invalidAmountRight,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,02/02/2012,MULTIPLE_FUTURE,action,WEEKS,invalidAmountLeft,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MONTHS,invalidAmountRight,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,DAYS,validAcceptableAmount,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,action,WEEKS,invalidAmountRight,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MONTHS,invalidAmountLeft,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,WEEKS,invalidAmountLeft,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,action,MONTHS,validAcceptableAmount,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,action,DAYS,invalidAmountRight,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MONTHS,invalidAmountRight,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,action,DAYS,invalidAmountLeft,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,action,WEEKS,validAcceptableAmount,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MONTHS,invalidAmountLeft,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,02/02/2012,MULTIPLE_FUTURE,action,DAYS,invalidAmountRight,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,WEEKS,validAcceptableAmount,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MONTHS,validAcceptableAmount,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,action,DAYS,invalidAmountLeft,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,action,WEEKS,invalidAmountRight,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,DAYS,invalidAmountRight,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,action,WEEKS,validAcceptableAmount,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MONTHS,invalidAmountLeft,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,WEEKS,invalidAmountLeft,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,action,MONTHS,invalidAmountRight,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,action,DAYS,validAcceptableAmount,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,WEEKS,invalidAmountRight,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,02/02/2012,MULTIPLE_FUTURE,action,MONTHS,validAcceptableAmount,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,DAYS,invalidAmountLeft,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,WEEKS,invalidAmountLeft,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,action,MONTHS,invalidAmountRight,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,action,DAYS,validAcceptableAmount,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MONTHS,validAcceptableAmount,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,action,DAYS,invalidAmountLeft,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,action,WEEKS,invalidAmountRight,SINGLE_FUTURE,action,action,action,test1
