[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_1,S1_wait_input,S7_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName,S12_submit_submitButton,S3_select_schedulingTypeSelect_index_3
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
