[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S13_submit_submitButton,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,IMMEDIATELY,MULTIPLE_FUTURE,action,DAYS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,IMMEDIATELY,MULTIPLE_FUTURE,action,WEEKS,invalidAmountRight,02/02/2012,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,action,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,DAYS,invalidAmountLeft,02/02/2012,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,IMMEDIATELY,MULTIPLE_FUTURE,action,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,IMMEDIATELY,MULTIPLE_FUTURE,action,MONTHS,validAcceptableAmount,02/02/2012,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,action,DAYS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,WEEKS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,IMMEDIATELY,MULTIPLE_FUTURE,action,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,IMMEDIATELY,MULTIPLE_FUTURE,action,DAYS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,IMMEDIATELY,MULTIPLE_FUTURE,action,WEEKS,validAcceptableAmount,02/02/2012,action,action,test1
