[coverage strength]
3
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S7_select_schedulingTypeSelect_index_1,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S13_submit_submitButton
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action
