[coverage strength]
3
""
S7_type_paymentCount,S12_select_recurrenceFieldSelect,S6_select_schedulingTypeSelect_index_1,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S13_submit_submitButton
validPaymentCountBetween17and36,DAYS,IMMEDIATELY,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween17and36,WEEKS,IMMEDIATELY,invalidRecurrenceNumberLef,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween17and36,MONTHS,IMMEDIATELY,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween1and6,DAYS,IMMEDIATELY,validRecurrenceNumberBetween7and30,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween1and6,WEEKS,IMMEDIATELY,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween1and6,MONTHS,IMMEDIATELY,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountLef,DAYS,IMMEDIATELY,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountLef,WEEKS,IMMEDIATELY,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountLef,MONTHS,IMMEDIATELY,validRecurrenceNumberBetween1and7,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountRight,DAYS,IMMEDIATELY,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountRight,WEEKS,IMMEDIATELY,invalidRecurrenceNumberRight,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountRight,MONTHS,IMMEDIATELY,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
