[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S6_select_schedulingTypeSelect_index_3,S13_click_calculatePaymentsButton,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S1_wait_input,S18_click_cssInputButton,S14_submit_submitButton,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MULTIPLE_FUTURE,action,DAYS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MULTIPLE_FUTURE,action,WEEKS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MULTIPLE_FUTURE,action,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MULTIPLE_FUTURE,action,DAYS,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MULTIPLE_FUTURE,action,WEEKS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MULTIPLE_FUTURE,action,MONTHS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MULTIPLE_FUTURE,action,DAYS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MULTIPLE_FUTURE,action,WEEKS,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MULTIPLE_FUTURE,action,MONTHS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MULTIPLE_FUTURE,action,DAYS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,MULTIPLE_FUTURE,action,WEEKS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,MULTIPLE_FUTURE,action,MONTHS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MULTIPLE_FUTURE,action,DAYS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MULTIPLE_FUTURE,action,WEEKS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,MULTIPLE_FUTURE,action,MONTHS,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,MULTIPLE_FUTURE,action,DAYS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,MULTIPLE_FUTURE,action,WEEKS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,action,action,test1
