[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S14_submit_submitButton,S0_type_memberUserName,S12_click_calculatePaymentsButton
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
