[coverage strength]
5
""
S7_type_paymentCount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_3,S11_click_calculatePaymentsButton,S2_type_amount,S7_select_schedulingTypeSelect_index_2,S1_wait_input,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,action,test1
validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,action,test1
validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,action,test1
invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,action,test1
invalidPaymentCountRight,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,action,test1
