[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S13_submit_submitButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
