[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_click_calculatePaymentsButton,S8c3_submit_submitButton,S6_select_schedulingTypeSelect_index_1,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,action,action,IMMEDIATELY,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,action,action,IMMEDIATELY,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,action,action,IMMEDIATELY,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,action,action,IMMEDIATELY,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,action,action,IMMEDIATELY,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,action,action,IMMEDIATELY,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,action,action,IMMEDIATELY,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,action,action,IMMEDIATELY,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,action,action,IMMEDIATELY,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,action,action,IMMEDIATELY,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,action,action,IMMEDIATELY,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountRight,action,action,IMMEDIATELY,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,action,action,IMMEDIATELY,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,action,action,IMMEDIATELY,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountLef,action,action,IMMEDIATELY,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,action,action,IMMEDIATELY,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,action,action,IMMEDIATELY,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountRight,action,action,IMMEDIATELY,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,action,action,IMMEDIATELY,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,action,action,IMMEDIATELY,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,action,action,IMMEDIATELY,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,action,action,IMMEDIATELY,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,action,action,IMMEDIATELY,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
