[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description,S8c3_submit_submitButton,S7_select_schedulingTypeSelect_index_2,S13_click_calculatePaymentsButton
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,SINGLE_FUTURE,action
