[coverage strength]
5
""
S7_type_paymentCount,S3_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_3,S14_submit_submitButton,S12_click_calculatePaymentsButton,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidRecurrenceNumberRight,validAcceptableAmount,02/02/2012,action,action,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validRecurrenceNumberBetween7and30,invalidAmountRight,02/02/2012,action,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidRecurrenceNumberRight,invalidAmountLeft,02/02/2012,action,action,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validRecurrenceNumberBetween1and7,validAcceptableAmount,02/02/2012,action,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidRecurrenceNumberRight,invalidAmountRight,02/02/2012,action,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,02/02/2012,action,action,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentPastDate,action,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,02/02/2012,action,action,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
