[coverage strength]
4
""
S7_type_paymentCount,S2_type_amount,S11_submit_submitButton,S6_select_schedulingTypeSelect_index_1,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,action,IMMEDIATELY,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,action,IMMEDIATELY,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,action,IMMEDIATELY,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,action,IMMEDIATELY,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,action,IMMEDIATELY,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,action,IMMEDIATELY,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountRight,action,IMMEDIATELY,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,action,IMMEDIATELY,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,action,IMMEDIATELY,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountRight,action,IMMEDIATELY,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,validAcceptableAmount,action,IMMEDIATELY,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,action,IMMEDIATELY,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,action,IMMEDIATELY,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
