[coverage strength]
4
""
S7_type_paymentCount,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S12_submit_submitButton,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S0_type_memberUserName
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentPastDate,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentFutureDate,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidAmountLeft,02/02/2012,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,invalidAmountRight,02/02/2012,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,validAcceptableAmount,02/02/2012,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentFutureDate,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentFutureDate,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentPastDate,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentFutureDate,action,test1
