[coverage strength]
5
""
S7_type_paymentCount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_2,S7_select_schedulingTypeSelect_index_2,S18_click_cssInputButton,S2_type_amount,S6_select_schedulingTypeSelect_index_1,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S11_submit_submitButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,02/02/2012,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidPaymentPastDate,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,02/02/2012,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidPaymentPastDate,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,02/02/2012,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidPaymentPastDate,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,02/02/2012,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidPaymentPastDate,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
