[coverage strength]
2
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S7_select_schedulingTypeSelect_index_2,S0_type_memberUserName,S12_submit_submitButton,S3_select_schedulingTypeSelect_index_3
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,action,MULTIPLE_FUTURE
