[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S14_submit_submitButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,action,test1
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,action,test1
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,action,test1
invalidPaymentCountLef,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,action,test1
