[coverage strength]
3
""
S7_type_paymentCount,S12_select_recurrenceFieldSelect,S5_select_schedulingTypeSelect_index_2,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S13_submit_submitButton
validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,validRecurrenceNumberBetween7and30,invalidAmountRight,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween17and36,WEEKS,SINGLE_FUTURE,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween17and36,MONTHS,SINGLE_FUTURE,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween1and6,DAYS,SINGLE_FUTURE,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween1and6,WEEKS,SINGLE_FUTURE,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween1and6,MONTHS,SINGLE_FUTURE,validRecurrenceNumberBetween1and7,invalidAmountRight,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountLef,DAYS,SINGLE_FUTURE,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountLef,WEEKS,SINGLE_FUTURE,invalidRecurrenceNumberRight,invalidAmountRight,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountLef,MONTHS,SINGLE_FUTURE,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountRight,DAYS,SINGLE_FUTURE,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountRight,WEEKS,SINGLE_FUTURE,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountRight,MONTHS,SINGLE_FUTURE,invalidRecurrenceNumberRight,validAcceptableAmount,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
