[coverage strength]
3
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S6_select_schedulingTypeSelect_index_3,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S3_select_schedulingTypeSelect_index_2,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MULTIPLE_FUTURE,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MULTIPLE_FUTURE,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MULTIPLE_FUTURE,validAcceptableAmount,02/02/2012,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,MULTIPLE_FUTURE,validAcceptableAmount,02/02/2012,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,MULTIPLE_FUTURE,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MULTIPLE_FUTURE,validAcceptableAmount,02/02/2012,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1
