[coverage strength]
5
""
S7_type_paymentCount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S8c3_submit_submitButton,S2_type_amount,S1_wait_input,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S14_type_description,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,action,anyString,test1
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,action,anyString,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,action,anyString,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,action,anyString,test1
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,action,anyString,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,action,anyString,test1
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,action,anyString,test1
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,action,anyString,test1
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,action,anyString,test1
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,action,anyString,test1
invalidPaymentCountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,action,anyString,test1
invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,action,anyString,test1
