[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_1,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S11_submit_submitButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountRight,02/02/2012,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,test1
