[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S7_select_schedulingTypeSelect_index_1,S14_submit_submitButton,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S12_click_calculatePaymentsButton,S3_select_schedulingTypeSelect_index_3
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,IMMEDIATELY,action,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,IMMEDIATELY,action,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,IMMEDIATELY,action,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,IMMEDIATELY,action,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,IMMEDIATELY,action,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,IMMEDIATELY,action,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,IMMEDIATELY,action,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,IMMEDIATELY,action,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,IMMEDIATELY,action,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,IMMEDIATELY,action,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,IMMEDIATELY,action,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,IMMEDIATELY,action,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,IMMEDIATELY,action,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,IMMEDIATELY,action,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountLef,IMMEDIATELY,action,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountRight,IMMEDIATELY,action,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,action,MULTIPLE_FUTURE
