[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_click_calculatePaymentsButton,S3_select_schedulingTypeSelect_index_3,S8c3_submit_submitButton,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,action,MULTIPLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,action,MULTIPLE_FUTURE,action,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,action,MULTIPLE_FUTURE,action,invalidAmountLeft,02/02/2012,action,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,action,MULTIPLE_FUTURE,action,invalidAmountRight,02/02/2012,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,action,MULTIPLE_FUTURE,action,validAcceptableAmount,02/02/2012,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,action,MULTIPLE_FUTURE,action,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,action,MULTIPLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,action,MULTIPLE_FUTURE,action,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,action,MULTIPLE_FUTURE,action,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,action,MULTIPLE_FUTURE,action,invalidAmountRight,02/02/2012,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,action,MULTIPLE_FUTURE,action,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountRight,action,MULTIPLE_FUTURE,action,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,action,MULTIPLE_FUTURE,action,invalidAmountRight,02/02/2012,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,action,MULTIPLE_FUTURE,action,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountLef,action,MULTIPLE_FUTURE,action,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,action,MULTIPLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,action,MULTIPLE_FUTURE,action,invalidAmountRight,02/02/2012,action,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,action,MULTIPLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,action,MULTIPLE_FUTURE,action,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,action,MULTIPLE_FUTURE,action,validAcceptableAmount,02/02/2012,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,action,MULTIPLE_FUTURE,action,invalidAmountLeft,02/02/2012,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,action,MULTIPLE_FUTURE,action,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,action,MULTIPLE_FUTURE,action,invalidAmountRight,02/02/2012,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,action,MULTIPLE_FUTURE,action,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,anyString
