[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S12_click_calculatePaymentsButton,S14_type_description,S8c3_submit_submitButton,S6_select_schedulingTypeSelect_index_1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action,anyString,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action,anyString,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action,anyString,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action,anyString,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action,anyString,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action,anyString,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action,anyString,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action,anyString,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action,anyString,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action,anyString,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action,anyString,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action,anyString,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action,anyString,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action,anyString,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action,anyString,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action,anyString,action,IMMEDIATELY
