[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S18_click_cssInputButton,S0_type_memberUserName,S13_submit_submitButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
