[coverage strength]
4
""
S7_type_paymentCount,S5_select_schedulingTypeSelect_index_2,S14_submit_submitButton,S12_click_calculatePaymentsButton,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,SINGLE_FUTURE,action,action,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,action,action,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,action,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,action,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,action,action,validRecurrenceNumberBetween1and7,invalidAmountRight,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,action,action,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,action,action,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,action,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,action,action,invalidRecurrenceNumberRight,invalidAmountRight,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,action,action,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,action,action,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,action,action,invalidRecurrenceNumberLef,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,action,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,action,action,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,action,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
