[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S0_type_memberUserName,S10_submit_submitButton,S1_wait_input,S18_click_cssInputButton
validPaymentCountBetween17and36,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,test1,action,action,action
validPaymentCountBetween17and36,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,test1,action,action,action
validPaymentCountBetween17and36,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,test1,action,action,action
validPaymentCountBetween1and6,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,test1,action,action,action
validPaymentCountBetween1and6,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,test1,action,action,action
validPaymentCountBetween1and6,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,test1,action,action,action
invalidPaymentCountLef,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,test1,action,action,action
invalidPaymentCountLef,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,test1,action,action,action
invalidPaymentCountLef,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,test1,action,action,action
invalidPaymentCountRight,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,test1,action,action,action
invalidPaymentCountRight,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,test1,action,action,action
invalidPaymentCountRight,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,test1,action,action,action
