[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S5_select_schedulingTypeSelect_index_2,S14_submit_submitButton,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S13_click_calculatePaymentsButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,SINGLE_FUTURE,action,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,SINGLE_FUTURE,action,invalidAmountRight,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,SINGLE_FUTURE,action,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,SINGLE_FUTURE,action,invalidAmountRight,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,action,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,SINGLE_FUTURE,action,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,SINGLE_FUTURE,action,invalidAmountRight,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,SINGLE_FUTURE,action,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,SINGLE_FUTURE,action,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,SINGLE_FUTURE,action,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,SINGLE_FUTURE,action,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,SINGLE_FUTURE,action,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,action,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,SINGLE_FUTURE,action,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,SINGLE_FUTURE,action,invalidAmountRight,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,SINGLE_FUTURE,action,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,SINGLE_FUTURE,action,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,SINGLE_FUTURE,action,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,SINGLE_FUTURE,action,invalidAmountRight,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,SINGLE_FUTURE,action,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,action
