[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S1_wait_input,S10_submit_submitButton,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,invalidAmountRight,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,action,action,action,test1,MULTIPLE_FUTURE
