[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S13_click_calculatePaymentsButton,S12_select_recurrenceFieldSelect,S2_type_amount,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentFutureDate,action,DAYS,invalidAmountRight,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,02/02/2012,action,WEEKS,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentPastDate,action,MONTHS,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentFutureDate,action,WEEKS,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,02/02/2012,action,MONTHS,invalidAmountRight,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentPastDate,action,DAYS,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentFutureDate,action,MONTHS,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,02/02/2012,action,DAYS,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentPastDate,action,WEEKS,invalidAmountRight,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentFutureDate,action,MONTHS,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,02/02/2012,action,DAYS,invalidAmountRight,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentPastDate,action,WEEKS,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentFutureDate,action,MONTHS,invalidAmountRight,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,02/02/2012,action,DAYS,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentPastDate,action,WEEKS,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentFutureDate,action,DAYS,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,02/02/2012,action,WEEKS,invalidAmountRight,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentPastDate,action,MONTHS,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentFutureDate,action,WEEKS,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,02/02/2012,action,MONTHS,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentPastDate,action,DAYS,invalidAmountRight,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentFutureDate,action,WEEKS,invalidAmountRight,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,02/02/2012,action,MONTHS,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentPastDate,action,DAYS,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentFutureDate,action,WEEKS,invalidAmountRight,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,02/02/2012,action,MONTHS,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentPastDate,action,DAYS,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentFutureDate,action,MONTHS,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,02/02/2012,action,DAYS,invalidAmountRight,MULTIPLE_FUTURE,action,test1
